species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dS,dN,dE
1659,45607,1,4.0,55,3,159,45818.241388888884,1.0,2.25,-1.0,-3.0,-23314.871666666662
1659,45607,2,6.25,54,4,156,22503.36972222222,0.0,14.0,5.0,-6.0,46284.53369444444
1659,45607,3,20.25,59,4,150,68787.90341666667,0.0,2.789999999999999,-3.0,-9.0,-57609.4861
1659,45607,4,23.04,56,4,141,11178.417316666668,0.0,7.210000000000001,-2.0,-7.0,13914.625304875282
1659,45607,5,30.25,54,4,134,25093.04262154195,0.0,8.190000000000005,-3.0,-18.0,1911.2550532879832
1659,45607,6,38.440000000000005,51,4,116,27004.297674829933,0.0,7.79999999999999,-2.0,-6.0,1044.1554501700703
1659,45607,7,46.239999999999995,49,4,110,28048.453125000004,1.0,32.97000000000001,5.0,8.0,4033.6315326530603
1659,45619,1,2.25,55,3,159,45818.241388888884,1.0,1.75,-1.0,-3.0,-23314.871666666662
1659,45619,2,4.0,54,4,156,22503.36972222222,0.0,5.0,5.0,-6.0,46284.53369444444
1659,45619,3,9.0,59,4,150,68787.90341666667,0.0,1.8899999999999988,-3.0,-9.0,-57609.4861
1659,45619,4,10.889999999999999,56,4,141,11178.417316666668,0.0,2.070000000000002,-2.0,-7.0,13914.625304875282
1659,45619,5,12.96,54,4,134,25093.04262154195,0.0,2.2499999999999982,-3.0,-18.0,1911.2550532879832
1659,45619,6,15.209999999999999,51,4,116,27004.297674829933,0.0,0.7900000000000009,-2.0,-6.0,1044.1554501700703
1659,45619,7,16.0,49,4,110,28048.453125000004,1.0,8.010000000000005,5.0,8.0,4033.6315326530603
1659,261795,2,1.0,54,4,156,22503.36972222222,0.0,1.5600000000000005,5.0,-6.0,46284.53369444444
1659,261795,3,2.5600000000000005,59,4,150,68787.90341666667,0.0,1.0499999999999994,-3.0,-9.0,-57609.4861
1659,261795,4,3.61,56,4,141,11178.417316666668,0.0,1.2300000000000009,-2.0,-7.0,13914.625304875282
1659,261795,5,4.840000000000001,54,4,134,25093.04262154195,0.0,1.4099999999999993,-3.0,-18.0,1911.2550532879832
1659,261795,6,6.25,51,4,116,27004.297674829933,0.0,1.040000000000001,-2.0,-6.0,1044.1554501700703
1659,261795,7,7.290000000000001,49,4,110,28048.453125000004,1.0,8.709999999999999,5.0,8.0,4033.6315326530603
263,298131,3,1.44,59,1,150,68787.90341666667,1.0,3.400000000000001,-3.0,-9.0,-57609.4861
263,298131,4,4.840000000000001,56,2,141,11178.417316666668,-1.0,0.4499999999999984,-2.0,-7.0,13914.625304875282
269,45582,1,72.25,55,2,159,45818.241388888884,0.0,8.75,-1.0,-3.0,-23314.871666666662
269,45582,2,81.0,54,2,156,22503.36972222222,2.0,51.25,5.0,-6.0,46284.53369444444
269,45582,3,132.25,59,4,150,68787.90341666667,0.0,6.990000000000009,-3.0,-9.0,-57609.4861
269,45582,4,139.24,56,4,141,11178.417316666668,0.0,0.0,-2.0,-7.0,13914.625304875282
269,45582,5,139.24,54,4,134,25093.04262154195,0.0,2.3700000000000045,-3.0,-18.0,1911.2550532879832
269,45582,6,141.61,51,4,116,27004.297674829933,-1.0,2.3899999999999864,-2.0,-6.0,1044.1554501700703
269,45608,1,9.0,55,2,159,45818.241388888884,0.0,3.25,-1.0,-3.0,-23314.871666666662
269,45608,2,12.25,54,2,156,22503.36972222222,2.0,54.989999999999995,5.0,-6.0,46284.53369444444
269,45608,3,67.24,59,4,150,68787.90341666667,0.0,19.250000000000014,-3.0,-9.0,-57609.4861
269,45608,4,86.49000000000001,56,4,141,11178.417316666668,0.0,27.99999999999997,-2.0,-7.0,13914.625304875282
269,45608,5,114.48999999999998,54,4,134,25093.04262154195,0.0,13.200000000000031,-3.0,-18.0,1911.2550532879832
269,45608,6,127.69000000000001,51,4,116,27004.297674829933,-1.0,16.309999999999988,-2.0,-6.0,1044.1554501700703
269,45608,7,144.0,49,3,110,28048.453125000004,-1.0,-16.309999999999988,5.0,8.0,4033.6315326530603
269,298132,3,1.0,59,4,150,68787.90341666667,0.0,4.289999999999999,-3.0,-9.0,-57609.4861
269,298132,4,5.289999999999999,56,4,141,11178.417316666668,0.0,0.0,-2.0,-7.0,13914.625304875282
269,298132,5,5.289999999999999,54,4,134,25093.04262154195,0.0,4.950000000000003,-3.0,-18.0,1911.2550532879832
269,298135,3,2.5600000000000005,59,4,150,68787.90341666667,0.0,1.4399999999999995,-3.0,-9.0,-57609.4861
269,298135,4,4.0,56,4,141,11178.417316666668,0.0,1.2899999999999991,-2.0,-7.0,13914.625304875282
269,298135,5,5.289999999999999,54,4,134,25093.04262154195,0.0,1.4700000000000015,-3.0,-18.0,1911.2550532879832
269,298135,6,6.760000000000001,51,4,116,27004.297674829933,-1.0,0.0,-2.0,-6.0,1044.1554501700703
269,298135,7,6.760000000000001,49,3,110,28048.453125000004,-1.0,2.8500000000000005,5.0,8.0,4033.6315326530603
320,277569,3,1.0,59,1,150,68787.90341666667,0.0,1.8899999999999997,-3.0,-9.0,-57609.4861
320,277569,4,2.8899999999999997,56,1,141,11178.417316666668,0.0,2.87,-2.0,-7.0,13914.625304875282
320,277569,5,5.76,54,1,134,25093.04262154195,0.0,0.0,-3.0,-18.0,1911.2550532879832
320,277569,6,5.76,51,1,116,27004.297674829933,0.0,0.4900000000000002,-2.0,-6.0,1044.1554501700703
320,277569,7,6.25,49,1,110,28048.453125000004,0.0,-4.8100000000000005,5.0,8.0,4033.6315326530603
1162,45577,1,9.0,55,2,159,45818.241388888884,0.0,3.25,-1.0,-3.0,-23314.871666666662
1162,45577,2,12.25,54,2,156,22503.36972222222,0.0,-1.3600000000000012,5.0,-6.0,46284.53369444444
1162,45605,1,182.25,55,2,159,45818.241388888884,0.0,13.75,-1.0,-3.0,-23314.871666666662
1162,45605,2,196.0,54,2,156,22503.36972222222,0.0,35.03999999999999,5.0,-6.0,46284.53369444444
1162,45605,3,231.04,59,2,150,68787.90341666667,-1.0,37.91999999999999,-3.0,-9.0,-57609.4861
1162,45605,4,268.96,56,1,141,11178.417316666668,0.0,20.04000000000002,-2.0,-7.0,13914.625304875282
1162,45605,5,289.0,54,1,134,25093.04262154195,0.0,17.25,-3.0,-18.0,1911.2550532879832
1162,45605,6,306.25,51,1,116,27004.297674829933,0.0,3.5100000000000477,-2.0,-6.0,1044.1554501700703
1162,45605,7,309.76000000000005,49,1,110,28048.453125000004,0.0,0.0,5.0,8.0,4033.6315326530603
6,45533,1,9.0,55,8,159,45818.241388888884,-2.0,0.0,-1.0,-3.0,-23314.871666666662
6,45533,2,9.0,54,6,156,22503.36972222222,0.0,-7.7004,5.0,-6.0,46284.53369444444
6,45535,1,5.0625,55,8,159,45818.241388888884,-2.0,2.5,-1.0,-3.0,-23314.871666666662
6,45535,2,7.5625,54,6,156,22503.36972222222,0.0,-6.5625,5.0,-6.0,46284.53369444444
6,45547,1,3.4225000000000003,55,8,159,45818.241388888884,-2.0,1.6399999999999997,-1.0,-3.0,-23314.871666666662
