species,census,n,m,S_t,N_t,E_t,dn,dm,dS,dN,dE
Setophaga ruticilla,1987,11.0,3.4168599028691506,18.0,86.0,489.16741123244674,2.5,0.0,6.0,28.0,149.5887045652214
Setophaga ruticilla,1988,13.5,3.4168599028691506,24.0,114.0,638.7561157976681,-8.0,0.0,-3.0,-12.0,-51.561296284493665
Setophaga ruticilla,1989,5.5,3.4168599028691506,21.0,102.0,587.1948195131745,13.0,0.0,5.0,32.0,169.76647504189418
Setophaga ruticilla,1990,18.5,3.4168599028691506,26.0,134.0,756.9612945550687,-4.5,0.0,-1.0,-13.0,-94.83080373801465
Setophaga ruticilla,1991,14.0,3.4168599028691506,25.0,121.0,662.130490817054,5.0,0.0,0.0,9.0,98.21206532250051
Setophaga ruticilla,1992,19.0,3.4168599028691506,25.0,130.0,760.3425561395545,-6.0,0.0,-4.0,-35.0,-245.2662580152604
Setophaga ruticilla,1993,13.0,3.4168599028691506,21.0,95.0,515.0762981242941,-5.5,0.0,0.0,-10.0,-16.42080807526878
Setophaga ruticilla,1994,7.5,3.4168599028691506,21.0,85.0,498.65549004902533,-5.5,0.0,-2.0,-11.0,54.74896776042334
Setophaga ruticilla,1995,2.0,3.4168599028691506,19.0,74.0,553.4044578094487,8.5,0.0,2.0,19.0,48.729717722541864
Setophaga ruticilla,1996,10.5,3.4168599028691506,21.0,93.0,602.1341755319905,0.0,0.0,-2.0,-6.0,-81.22435643851725
Setophaga ruticilla,1997,10.5,3.4168599028691506,19.0,87.0,520.9098190934733,-0.5,0.0,-1.0,-14.0,-129.70067374599694
Setophaga ruticilla,1998,10.0,3.4168599028691506,18.0,73.0,391.20914534747635,-0.5,0.0,-2.0,12.0,85.06387382409855
Setophaga ruticilla,1999,9.5,3.4168599028691506,16.0,85.0,476.2730191715749,-2.0,0.0,2.0,5.0,3.440010963380473
Setophaga ruticilla,2000,7.5,3.4168599028691506,18.0,90.0,479.7130301349554,-3.5,0.0,3.0,3.0,44.599534938248894
Setophaga ruticilla,2001,4.0,3.4168599028691506,21.0,93.0,524.3125650732043,-2.0,0.0,-1.0,-21.0,-137.68102418134663
Setophaga ruticilla,2002,2.0,3.4168599028691506,20.0,72.0,386.63154089185764,5.0,0.0,-1.0,18.0,156.1055548649574
Setophaga ruticilla,2003,7.0,3.4168599028691506,19.0,90.0,542.737095756815,-5.0,0.0,3.0,-12.0,-43.556870489634775
Setophaga ruticilla,2004,2.0,3.4168599028691506,22.0,78.0,499.1802252671803,-1.0,0.0,-3.0,18.0,114.20527531547168
Setophaga ruticilla,2005,1.0,3.4168599028691506,19.0,96.0,613.385500582652,1.0,0.0,4.0,13.0,82.12066491397024
Setophaga ruticilla,2006,2.0,3.4168599028691506,23.0,109.0,695.5061654966222,0.0,0.0,1.0,-8.0,-6.858380652262554
Setophaga ruticilla,2007,2.0,3.4168599028691506,24.0,101.0,688.6477848443596,1.0,0.0,-2.0,-8.0,-91.34507924893
Setophaga ruticilla,2008,3.0,3.4168599028691506,22.0,93.0,597.3027055954296,-2.5,0.0,-3.0,14.0,57.366118190624775
Setophaga ruticilla,2009,0.5,3.4168599028691506,19.0,107.0,654.6688237860544,-0.3,0.0,4.0,2.0,27.50681673157078
Setophaga ruticilla,2010,0.2,3.4168599028691506,23.0,109.0,682.1756405176252,-0.2,0.0,0.0,-12.0,-68.83183687628036
Setophaga ruticilla,2011,0.0,3.4168599028691506,23.0,97.0,613.3438036413448,2.0,0.0,-2.0,9.0,65.51972751767255
Setophaga ruticilla,2012,2.0,3.4168599028691506,21.0,106.0,678.8635311590174,-2.0,0.0,1.0,15.0,49.829950069092774
Setophaga ruticilla,2013,0.0,3.4168599028691506,22.0,121.0,728.6934812281102,0.0,0.0,2.0,-7.0,-32.61267620037563
Setophaga ruticilla,2014,0.0,3.4168599028691506,24.0,114.0,696.0808050277345,0.0,0.0,0.0,1.0,130.57125964865213
Mniotilta varia,1986,0.0,4.161828396907142,20.0,92.0,541.1675599992918,0.0,0.0,-2.0,-6.0,-52.000148766845086
Mniotilta varia,1987,0.0,4.161828396907142,18.0,86.0,489.16741123244674,0.0,0.0,6.0,28.0,149.5887045652214
Mniotilta varia,1988,0.0,4.161828396907142,24.0,114.0,638.7561157976681,0.0,0.0,-3.0,-12.0,-51.561296284493665
Mniotilta varia,1989,0.0,4.161828396907142,21.0,102.0,587.1948195131745,0.0,0.0,5.0,32.0,169.76647504189418
